"","nfi_plot","meas_date","biomass_total","meas_num","species_num","genus","species","variety","percent","species_rel","utm_n","utm_e","percent/100 * biomass_total"
"110",1239011,"2003-AUG-30",3.45,0,1,"POPU","BAL",NA,100,1,5960000,370000,3.45
"111",1239011,"2013-SEP-05",12.3675,1,1,"ACER","NEG",NA,51,0.667,5960000,370000,6.307425
"112",1239011,"2013-SEP-05",12.3675,1,2,"POPU","BAL",NA,49,0.333,5960000,370000,6.060075
"113",1245881,"2003-AUG-29",30.1712,0,4,"PICE","GLA",NA,2,0.125,5960000,320000,0.603424
"114",1245881,"2003-AUG-29",30.1712,0,2,"BETU","PAP",NA,21,0.25,5960000,320000,6.335952
"115",1252776,"2003-AUG-26",78.3303,0,1,"PICE","MAR",NA,96,0.821,5910000,370000,75.197088
"116",1252776,"2003-AUG-26",78.3303,0,2,"LARI","LAR",NA,4,0.179,5910000,370000,3.133212
"117",1252776,"2018-AUG-22",12.4459,1,2,"LARI","LAR",NA,7,0.15,5910000,370000,0.871213
"118",1252776,"2018-AUG-22",12.4459,1,1,"PICE","MAR",NA,93,0.85,5910000,370000,11.574687
"119",1259646,"2003-AUG-27",82.4888,0,2,"LARI","LAR",NA,11,0.12,5910000,330000,9.073768
"120",1259646,"2003-AUG-27",82.4888,0,1,"PICE","MAR",NA,89,0.88,5910000,330000,73.415032
"121",1259646,"2013-SEP-04",105.6398,1,2,"LARI","LAR",NA,18,0.219,5910000,330000,19.015164
"122",1259646,"2013-SEP-04",105.6398,1,1,"PICE","MAR",NA,82,0.781,5910000,330000,86.624636
"123",1259661,"2003-AUG-27",150.2665,0,1,"PICE","MAR",NA,100,1,5890000,380000,150.2665
"124",1259661,"2008-AUG-19",120.6037,1,1,"PICE","MAR",NA,100,1,5890000,380000,120.6037
"125",1259661,"2018-AUG-23",190.4729,2,1,"PICE","MAR",NA,100,1,5890000,380000,190.4729
"126",1259711,"2003-JUL-19",29.9459,0,2,"LARI","LAR",NA,4,0.385,5810000,570000,1.197836
"127",1259711,"2003-JUL-19",29.9459,0,1,"PICE","MAR",NA,96,0.615,5810000,570000,28.748064
"128",1259711,"2009-JUL-08",41.2455,1,1,"PICE","MAR",NA,96,0.733,5810000,570000,39.59568
"129",1259711,"2009-JUL-08",41.2455,1,2,"LARI","LAR",NA,4,0.267,5810000,570000,1.64982
"130",1259711,"2019-SEP-24",3.7624,2,1,"PICE","MAR",NA,68,0.667,5810000,570000,2.558432
"131",1259711,"2019-SEP-24",3.7624,2,2,"LARI","LAR",NA,32,0.333,5810000,570000,1.203968
"132",1259731,"2003-JUL-02",120.9126,0,1,"PICE","MAR",NA,100,1,5780000,640000,120.9126
"133",1259731,"2009-JUL-06",108.7745,1,1,"PICE","MAR",NA,100,1,5780000,640000,108.7745
"134",1259736,"2003-AUG-26",41.0337,0,2,"PICE","MAR",NA,4,0.222,5780000,660000,1.641348
"135",1259736,"2003-AUG-26",41.0337,0,1,"LARI","LAR",NA,96,0.778,5780000,660000,39.392352
